stock,Earnings Date,hour,time,EPS Estimate,Reported EPS,Surprise(%),ed
AMZN,2024-08-01 16:00:00-04:00,16,PM,0.94,,,2024-08-01
AAPL,2024-08-01 16:00:00-04:00,16,PM,1.23,,,2024-08-01
PFE,2024-07-30 08:00:00-04:00,8,AM,0.42,,,2024-07-30
UBER,2024-08-06 08:00:00-04:00,8,AM,0.29,,,2024-08-06
NTR,2024-08-07 16:00:00-04:00,16,PM,2.19,,,2024-08-07
DKNG,2024-08-01 16:00:00-04:00,16,PM,-0.01,,,2024-08-01
UWMC,2024-08-06 08:00:00-04:00,8,AM,0.07,,,2024-08-06
PLTR,2024-08-05 16:00:00-04:00,16,PM,0.08,,,2024-08-05
SQ,2024-08-01 16:00:00-04:00,16,PM,0.85,,,2024-08-01
WMT,2024-08-15 09:00:00-04:00,9,AM,0.59,,,2024-08-15
CVX,2024-08-02 08:00:00-04:00,8,AM,2.7,,,2024-08-02
MO,2024-07-31 07:00:00-04:00,7,AM,1.24,,,2024-07-31
INTC,2024-08-01 16:00:00-04:00,16,PM,0.09,,,2024-08-01
HD,2024-08-13 08:00:00-04:00,8,AM,4.14,,,2024-08-13
LC,2024-07-30 16:00:00-04:00,16,PM,0.04,,,2024-07-30
JKS,2024-08-12 08:00:00-04:00,8,AM,0.17,,,2024-08-12
VUZI,2024-08-06 16:00:00-04:00,16,PM,-0.1,,,2024-08-06
BKKT,2024-08-14 08:00:00-04:00,8,AM,-1.76,,,2024-08-14
MRK,2024-07-30 08:00:00-04:00,8,AM,1.98,,,2024-07-30
BABA,2024-08-08 08:00:00-04:00,8,AM,2.1,,,2024-08-08
QCOM,2024-07-31 16:00:00-04:00,16,PM,2.07,,,2024-07-31
ARDX,2024-08-01 16:00:00-04:00,16,PM,-0.11,,,2024-08-01
MOS,2024-08-06 16:00:00-04:00,16,PM,0.66,,,2024-08-06
MSFT,2024-07-30 16:00:00-04:00,16,PM,2.7,,,2024-07-30
TGT,2024-08-21 08:00:00-04:00,8,AM,2.01,,,2024-08-21
META,2024-07-31 16:00:00-04:00,16,PM,4.34,,,2024-07-31
RKT,2024-08-01 16:00:00-04:00,16,PM,0.05,,,2024-08-01
RBLX,2024-08-01 08:00:00-04:00,8,AM,-0.39,,,2024-08-01
CCJ,2024-07-31 08:00:00-04:00,8,AM,0.17,,,2024-07-31
EBAY,2024-07-31 16:00:00-04:00,16,PM,1.12,,,2024-07-31
SONO,2024-08-07 16:00:00-04:00,16,PM,0.01,,,2024-08-07
PYPL,2024-07-31 06:00:00-04:00,6,AM,0.9,,,2024-07-31
AMD,2024-07-30 16:00:00-04:00,16,PM,0.62,,,2024-07-30
AMC,2024-08-02 16:00:00-04:00,16,PM,-0.43,,,2024-08-02
XOM,2024-08-02 09:00:00-04:00,9,AM,1.86,,,2024-08-02
CLSK,2024-08-07 06:00:00-04:00,6,AM,-0.04,,,2024-08-07
COIN,2024-08-01 19:00:00-04:00,19,PM,0.94,,,2024-08-01
SBUX,2024-07-30 19:00:00-04:00,19,PM,0.86,,,2024-07-30
AFRM,2024-08-22 16:00:00-04:00,16,PM,-0.5,,,2024-08-22
GSL,2024-08-05 08:00:00-04:00,8,AM,2.29,,,2024-08-05
BA,2024-07-31 08:00:00-04:00,8,AM,-1.62,,,2024-07-31
CMRE,2024-07-31 08:00:00-04:00,8,AM,0.71,,,2024-07-31
INTU,2024-08-22 06:00:00-04:00,6,AM,1.84,,,2024-08-22
SNAP,2024-08-01 16:00:00-04:00,16,PM,0.02,,,2024-08-01
CTVA,2024-07-31 16:00:00-04:00,16,PM,1.72,,,2024-07-31
DIS,2024-08-07 08:00:00-04:00,8,AM,1.09,,,2024-08-07
CSCO,2024-08-14 06:00:00-04:00,6,AM,0.78,,,2024-08-14
CVS,2024-08-07 08:00:00-04:00,8,AM,1.6,,,2024-08-07
CHGG,2024-08-05 16:00:00-04:00,16,PM,0.22,,,2024-08-05
CTRA,2024-08-01 16:00:00-04:00,16,PM,0.39,,,2024-08-01
SNOW,2024-08-21 06:00:00-04:00,6,AM,0.16,,,2024-08-21
FANG,2024-08-05 16:00:00-04:00,16,PM,4.52,,,2024-08-05
LI,2024-08-06 08:00:00-04:00,8,AM,0.25,,,2024-08-06
RUN,2024-08-06 16:00:00-04:00,16,PM,-0.33,,,2024-08-06
TSN,2024-08-05 08:00:00-04:00,8,AM,0.64,,,2024-08-05
ROKU,2024-08-01 16:00:00-04:00,16,PM,-0.43,,,2024-08-01
SPWR,2024-07-29 07:00:00-04:00,7,AM,-0.26,,,2024-07-29
OXY,2024-08-07 16:00:00-04:00,16,PM,0.78,,,2024-08-07
ABNB,2024-08-06 16:00:00-04:00,16,PM,0.84,,,2024-08-06
X,2024-08-01 16:00:00-04:00,16,PM,0.76,,,2024-08-01
MARA,2024-08-01 16:00:00-04:00,16,PM,-0.14,,,2024-08-01
EOG,2024-08-01 16:00:00-04:00,16,PM,2.96,,,2024-08-01
CLX,2024-08-01 16:00:00-04:00,16,PM,1.56,,,2024-08-01
K,2024-08-01 08:00:00-04:00,8,AM,0.18,,,2024-08-01
SONY,2024-08-07 02:00:00-04:00,2,AM,1.04,,,2024-08-07
HOOD,2024-08-07 16:00:00-04:00,16,PM,0.15,,,2024-08-07
PGR,2024-08-06 08:00:00-04:00,8,AM,2.01,,,2024-08-06
AFL,2024-07-31 16:00:00-04:00,16,PM,1.6,,,2024-07-31
AIG,2024-07-31 16:00:00-04:00,16,PM,1.19,,,2024-07-31
SOFI,2024-07-30 08:00:00-04:00,8,AM,,,,2024-07-30
MPW,2024-08-06 08:00:00-04:00,8,AM,0.06,,,2024-08-06
ARM,2024-07-31 16:00:00-04:00,16,PM,0.34,,,2024-07-31
TTD,2024-08-08 19:00:00-04:00,19,PM,0.35,,,2024-08-08
AMAT,2024-08-15 16:00:00-04:00,16,PM,1.86,,,2024-08-15
DASH,2024-08-01 16:00:00-04:00,16,PM,-0.09,,,2024-08-01
OPEN,2024-08-01 16:00:00-04:00,16,PM,-0.1,,,2024-08-01
DBX,2024-08-08 16:00:00-04:00,16,PM,0.52,,,2024-08-08
PANW,2024-08-16 06:00:00-04:00,6,AM,1.41,,,2024-08-16
TDOC,2024-07-31 16:00:00-04:00,16,PM,-0.34,,,2024-07-31
SMCI,2024-08-06 19:00:00-04:00,19,PM,8.1,,,2024-08-06
HIMS,2024-08-05 16:00:00-04:00,16,PM,0.04,,,2024-08-05
CAVA,2024-08-13 16:00:00-04:00,16,PM,0.12,,,2024-08-13
EXPE,2024-08-08 16:00:00-04:00,16,PM,3.05,,,2024-08-08
RDDT,2024-08-06 16:00:00-04:00,16,PM,-0.33,,,2024-08-06
